market,asin,title,keyword,卖家,store,remark,link,image_url,Discount Price,Commission,status
FR,B0FPQ7B47R,法国手部按摩仪 ,masseur electrique pour les mains,啊波团队,ATRION2025,Need Text Review,https://www.amazon.fr/dp/B0FPQ7B47R,https://m.media-amazon.com/images/I/61LOTMKGRqL._AC_SY355_.jpg,8.00,0.00,active
FR,B0G6ZCC38L,法国小女孩玛丽珍鞋,Chaussure Princesse Fille Talon Mary Jane Paillettes,美国鞋子7.4/5.7/40, BAOZU,"Need Text Review
尽量带图",https://amzn.to/4aAOplF,https://m.media-amazon.com/images/I/81-3++aWruL._AC_SY395_.jpg,0.00,0.00,active
FR,B0FPLS4R7F,法国美牙仪,Blanchiment Dentaire,之星涓涓团队,PLATINUM GLOBAL,Need Text Review,https://amzn.to/3NVQqA3,https://m.media-amazon.com/images/I/619zvQ7hW-L._AC_SX679_.jpg,0.00,0.00,active
FR,B0DCG2KX4N,法国 iPhone 16 Pro 手机壳, oretech coque pour 16 pro,庄家1手机壳佣金单,ORETech EU,No Review,https://amzn.to/4oijTjO,https://m.media-amazon.com/images/I/81AZa9hKelL._AC_SY355_.jpg,0.00,0.00,active
FR,B0G6DS1TB2,法国驱蚊器,ultrason souris et rats puissant,大乐卖999测评-吴榕兴,"Sichuan Jiabin Mounting Trading Co., Ltd.",Need Text Review,https://amzn.to/3OWbiY5,https://m.media-amazon.com/images/I/71XibVKeZKL._AC_SX569_.jpg,0.00,0.00,active
FR,B0FSZX3F9Z,法国触屏笔,pencil ipad air 13 pouces,之星涓涓团队,guangzhouxinmiaochangdianziyouxiangongsi,Need Text Review,https://amzn.to/4pyB3uE,https://m.media-amazon.com/images/I/71ubkytgKcL._AC_SX679_.jpg,0.00,0.00,active
FR,B0FSZWYVGX,法国触屏笔,pencil ipad air 13 pouces,之星涓涓团队,guangzhouxinmiaochangdianziyouxiangongsi,Need Text Review,https://amzn.to/44oAMlU,https://m.media-amazon.com/images/I/71yukQv88vL._AC_SX679_.jpg,0.00,0.00,active
FR,B0FSZW4KG9,法国触屏笔,pencil ipad air 13 pouces,之星涓涓团队,guangzhouxinmiaochangdianziyouxiangongsi,,https://amzn.to/44oALhQ,https://m.media-amazon.com/images/I/71MhWBBVFpL._AC_SX679_.jpg,0.00,0.00,active
FR,B0GDDY4X4L,法国驱赶器,Effaroucheur Animaux Jardin,大乐卖999测评-吴榕兴,ShoMoZ Store,Need Text Review,https://www.amazon.fr/WUGEIN-Exterieur-D%C3%A9tecteur-Mouvement-Effaroucheur/dp/B0GDDY4X4L,https://m.media-amazon.com/images/I/71kcta0WA3L._AC_SX569_.jpg,0.00,0.00,active
FR,B0G6D3X8S5,法国地钉,ultrasons borne pour Taupes,大乐卖999测评-吴榕兴,ShoMoZ Store,Need Text Review,https://amzn.to/4tQKys4,https://m.media-amazon.com/images/I/81k60aVWfwL._AC_SX569_.jpg,0.00,0.00,active
FR,B0D1XW2MDY,法国iphone 15Plus手机壳, coque iphone 15 plus,庄家1手机壳佣金单, ORETech EU,Need Text Review,https://amzn.to/3XTwE9Q,https://m.media-amazon.com/images/I/712i0x5Va9L._AC_SX425_.jpg,0.00,5.00,active
FR,B0D1XW2MDY,法国iphone 15Plus手机壳, coque iphone 15 plus,庄家1手机壳佣金单, ORETech EU,No Review,https://amzn.to/3LViYIW,https://m.media-amazon.com/images/I/712i0x5Va9L._AC_SX425_.jpg,0.00,1.00,active
FR,B0DCFX852B,法国 iPhone 16手机壳,coque iphone 16 oretech,庄家1手机壳佣金单, ORETech EU,Need Text Review,https://amzn.to/484BLdj,https://m.media-amazon.com/images/I/81JtaAETIXL._AC_SY355_.jpg,0.00,2.00,active
FR,B0DCG12F1K,法国 iPhone 16 Pro Max 手机壳, oretech coque pour 16 pro max ,庄家1手机壳佣金单,ORETech EU,Need Text Review,https://amzn.to/3XQGLw2,https://m.media-amazon.com/images/I/81Kcx9O6rYL._AC_SY355_.jpg,0.00,2.00,active
FR,B0D1XM7GRW,法国 iphone 15手机壳,coque iphone 15 silicone,庄家1手机壳佣金单, ORETech EU,No Review,https://amzn.to/4prWWMi,https://m.media-amazon.com/images/I/712i0x5Va9L._AC_SX425_.jpg,0.00,1.00,active
FR,B0G1CFK7RJ,法国负面佣金,https://amzn.to/4qSi2E7,小龙团队,All FBA Market-USA,"Need Text Review
One-star review, requires return, payment of commission",https://amzn.to/4qSi2E7,http://154.48.226.95:5001/image/20260117/b8bc063f7bd540fbbb352d3c984cc37a.png,0.00,15.00,active
FR,B0DCG12F1K,法国 iPhone 16 Pro Max 手机壳, oretech coque pour 16 pro max ,庄家1手机壳佣金单,ORETech EU,No Review,https://amzn.to/49Cn0Q9,https://m.media-amazon.com/images/I/81Kcx9O6rYL._AC_SY355_.jpg,0.00,0.00,active
FR,B0CHHWYGH4,法国负面佣金,Senior Unlocked Mobile Phone with Big Buttons,小龙团队,Howtech,"Need Text Review
One-star review, requires return, payment of commission",https://amzn.to/3ZdYVsn,http://154.48.226.95:5001/image/20260117/4e30c0f097a24cd08189f23dd10b97d9.png,0.00,15.00,active
FR,B0FS5Y149C,法国驱鼠器,ultrasonique pour Rats,之星涓涓团队,Daissz Store,Need Text Review,https://amzn.to/4aZav1G,https://m.media-amazon.com/images/I/61+Auv2FeFL._AC_SX679_.jpg,0.00,0.00,active
FR,B0FWR5BL97,法国车用超声波,répulsif anti-rats à ultrasons avec led,大乐卖999测评-吴榕兴,WLJIAN SHOP,Need Text Review,https://amzn.to/3L0VSQX,https://m.media-amazon.com/images/I/61Is-WEtOHL._AC_SX679_.jpg,0.00,0.00,active
FR,B0DCFX852B,法国 iPhone 16手机壳,coque iphone 16 oretech,庄家1手机壳佣金单, ORETech EU,No Review,https://amzn.to/48ph9vf,https://m.media-amazon.com/images/I/81JtaAETIXL._AC_SY355_.jpg,0.00,0.00,active
